"hub","error_pattern","evidence_basis","source","support_ticket_count","limitation"
"drip_tape","buying only the roll and missing valves/connectors/washers/end parts/filter","visible existing category guidance/Q&A","results/category-audit-20260926-growthos-phase6-readback-drip.json","","not a support-ticket frequency metric"
"drip_tape","using another brand/model pressure value","visible existing category guidance/Q&A","results/category-audit-20260926-growthos-phase6-readback-drip.json","","not a support-ticket frequency metric"
"layflat_hose","selecting only by nominal inch without verifying real connector/interface","visible existing category guidance/Q&A","results/category-audit-20260926-growthos-phase6-readback-lay.json","","not a support-ticket frequency metric"
"layflat_hose","omitting roll-to-roll connectors/end fittings/branch hardware","visible existing category guidance/Q&A","results/category-audit-20260926-growthos-phase6-readback-lay.json","","not a support-ticket frequency metric"
"tape_layflat_fittings","treating same-size text as proof of fit","Phase 4 fail-closed evidence policy + live hub","results/category-audit-20260926-growthos-phase6-readback-fit-v2.json","","not a support-ticket frequency metric"
"tape_layflat_fittings","leak risk from wrong washer/punch/interface","visible existing category guidance/Q&A","results/category-audit-20260926-growthos-phase6-readback-fit-v2.json","","not a support-ticket frequency metric"
"pe_pipe_fittings","inferring PN/SDR or pressure from category/similar product","Phase 4 source-bound gaps + live hub","results/category-audit-20260926-growthos-phase6-readback-pe.json","","not a support-ticket frequency metric"
"pe_pipe_fittings","seal-stack or assembly-order mismatch leading to leakage","visible existing category guidance/Q&A","results/category-audit-20260926-growthos-phase6-readback-pe.json","","not a support-ticket frequency metric"
"filtration","choosing only by connection size and ignoring flow/water quality","visible existing category guidance/Q&A","results/category-audit-20260926-growthos-phase6-readback-filter.json","","not a support-ticket frequency metric"
"filtration","borrowing mesh/micron from a different model","Phase 4 source-bound gaps + live hub","results/category-audit-20260926-growthos-phase6-readback-filter.json","","not a support-ticket frequency metric"
