gap_type,field_or_disposition,count,source,rule
missing_dimension,pressure_class,27,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
missing_dimension,connection_type,15,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
missing_dimension,flow_rate,10,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
missing_dimension,material,8,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
missing_dimension,length,5,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
missing_dimension,nominal_size,5,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
missing_dimension,filtration_requirement,4,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
missing_dimension,connection_size,3,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
missing_dimension,pressure_requirement,3,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
missing_dimension,filtration_grade,3,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
missing_dimension,head,2,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
missing_dimension,electrical_rating,1,growthos-phase4-results/compatibility-summary.json,"Remain unknown until exact evidence"
source_bound_disposition,MOUJ_EXACT_DATASHEET_OR_ROLL_LABEL_REQUIRED,6,growthos-phase4-results/compatibility-summary.json,"No cross-brand inheritance"
source_bound_disposition,EXACT_FITTING_INTERFACE_OR_MATERIAL_REQUIRED,4,growthos-phase4-results/compatibility-summary.json,"Exact interface/material required"
source_bound_disposition,EXACT_PUMP_MODEL_DATASHEET_OR_NAMEPLATE_REQUIRED,2,growthos-phase4-results/compatibility-summary.json,"Exact model evidence required"
source_bound_disposition,EXACT_PUMP_CONTROLLER_LABEL_REQUIRED,1,growthos-phase4-results/compatibility-summary.json,"Exact label required"
source_bound_disposition,EXACT_TAPE_MANUFACTURER_OR_LABEL_REQUIRED,4,growthos-phase4-results/compatibility-summary.json,"Exact tape identity required"
source_bound_disposition,CAST_IRON_VALVE_MODEL_PN_AND_CONNECTION_REQUIRED,5,growthos-phase4-results/compatibility-summary.json,"Model PN and connection required"
source_bound_disposition,EXACT_SPRINKLER_NOZZLE_FLOW_TABLE_REQUIRED,5,growthos-phase4-results/compatibility-summary.json,"Exact nozzle flow table required"
source_bound_disposition,EXACT_FILTER_ELEMENT_GRADE_REQUIRED,3,growthos-phase4-results/compatibility-summary.json,"Exact element grade required"
source_bound_disposition,EXACT_EMITTER_FLOW_OR_INTERFACE_SPEC_REQUIRED,7,growthos-phase4-results/compatibility-summary.json,"Exact emitter evidence required"
source_bound_disposition,ABAFARIN_EXACT_PRESSURE_DATASHEET_REQUIRED,9,growthos-phase4-results/compatibility-summary.json,"Exact pressure datasheet required"
source_bound_disposition,EXACT_PIPE_PN_SDR_MARKING_REQUIRED,1,growthos-phase4-results/compatibility-summary.json,"Exact pipe marking required"
source_bound_disposition,EXACT_VALVE_PRESSURE_OR_CONNECTION_DATASHEET_REQUIRED,2,growthos-phase4-results/compatibility-summary.json,"Exact valve evidence required"
